symbol,name,sector,industry,market_cap_b
NVDA,NVIDIA Corporation,Technology,Semiconductors,4852.37
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,4632.22
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,4587.61
AAPL,Apple Inc.,Technology,Consumer Electronics,4055.91
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,3115.89
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2922.41
AVGO,Broadcom Inc.,Technology,Semiconductors,2000.71
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1539.55
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,1469.06
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,1044.68
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,1016.08
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,859.84
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,826.98
MU,"Micron Technology, Inc.",Technology,Semiconductors,658.15
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,629.8
V,Visa Inc.,Financial Services,Credit Services,621.26
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,573.5
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,544.82
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,544.61
ORCL,Oracle Corporation,Technology,Software - Infrastructure,518.65
INTC,Intel Corporation,Technology,Semiconductors,492.75
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,447.26
MA,Mastercard Incorporated,Financial Services,Credit Services,443.76
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,412.12
NFLX,"Netflix, Inc.",Communication Services,Entertainment,386.07
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,376.57
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,375.67
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,364.2
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,363.98
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,356.36
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,336.55
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,335.89
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,333.42
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,323.21
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,317.51
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,312.52
GE,GE Aerospace,Industrials,Aerospace & Defense,301.74
MS,Morgan Stanley,Financial Services,Capital Markets,300.96
GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,291.57
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,280.73
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,271.34
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,263.71
TXN,Texas Instruments Incorporated,Technology,Semiconductors,253.43
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,245.12
RTX,RTX Corporation,Industrials,Aerospace & Defense,235.86
LIN,Linde plc,Basic Materials,Specialty Chemicals,232.16
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,229.51
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,223.89
C,Citigroup Inc.,Financial Services,Banks - Diversified,219.43
ARM,Arm Holdings plc,Technology,Semiconductors,219.08
AXP,American Express Company,Financial Services,Credit Services,217.82
IBM,International Business Machines Corporation,Technology,Information Technology Services,217.13
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,213.28
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,209.68
